;context_annotations;created_at;edit_history_tweet_ids;id;text
261;[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1534887859483619328', 'name': 'Jonathan Cohen', 'description': ' '}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1534887859483619328', 'name': 'Jonathan Cohen', 'description': ' '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1095352268046495745', 'name': 'Celebrities', 'description': 'Celebrities'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1166410125994708993', 'name': 'Directors, producers & writers'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1303715075421646849', 'name': 'Actors'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1507002084926771206', 'name': 'French actors'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1534887859483619328', 'name': 'Jonathan Cohen', 'description': ' '}}];2023-02-06 13:33:10+00:00;[1622589217258844160];1622589217258844160;"#BoxOffice France

#AsterixEtObelixLEmpireDuMilieu fait péter les compteurs : les estimations hebdos sont là !!

@PatheFilms @jocohenlebon @GillesLellouche  @commandeur_j 

https://t.co/GThLIJQbNd https://t.co/sd7nx7F0qG"
262;[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '806227321669591040', 'name': 'Lady Gaga', 'description': 'Lady Gaga'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '810938279801470977', 'name': 'Pop', 'description': 'Pop'}}, {'domain': {'id': '86', 'name': 'Movie', 'description': 'A film like Rogue One: A Star Wars Story'}, 'entity': {'id': '1569684361582039040', 'name': 'Babylon'}}, {'domain': {'id': '87', 'name': 'Movie Genre', 'description': 'A movie genre like Action'}, 'entity': {'id': '1290284517027012611', 'name': 'Historical films'}}, {'domain': {'id': '89', 'name': 'Music Album', 'description': 'A music album like The Dark Side of the Moon'}, 'entity': {'id': '1233365051341328385', 'name': 'Chromatica'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '806227321669591040', 'name': 'Lady Gaga', 'description': 'Lady Gaga'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '839544274442051584', 'name': 'Entertainment'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1072936713134071808', 'name': 'Movies', 'description': 'Movies'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1276514328007467008', 'name': 'Movies & TV'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1290284517027012611', 'name': 'Historical films'}}, {'domain': {'id': '87', 'name': 'Movie Genre', 'description': 'A movie genre like Action'}, 'entity': {'id': '856976804749258752', 'name': 'Drama films', 'description': 'Drama'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '839544274442051584', 'name': 'Entertainment'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '856976804749258752', 'name': 'Drama films', 'description': 'Drama'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1072936713134071808', 'name': 'Movies', 'description': 'Movies'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1276514328007467008', 'name': 'Movies & TV'}}];2023-02-06 13:28:04+00:00;[1622587934703554563];1622587934703554563;1 637 948 entrées depuis mercredi : gros démarrage confirmé pour #AsterixEtObelixLEmpireDuMilieu et de son côté #Babylon passe le million et #AvatarLaVoieDeLEau les 13 millions… vive le(s) cinéma(s) 😎 @LVT_RTL https://t.co/ljgd1fU8PU
263;;2023-02-06 13:26:17+00:00;[1622587485783040003];1622587485783040003;Je regardais les critiques presses de #AsterixEtObelixLEmpireDuMilieu et je me dis “c’est bizarre pourquoi seulement 2 étoiles alors que son review est plutôt gentil” puis j’ai compris où était le tacle 😭😭 et je dois avouer qu’il est subtile et sanguinaire https://t.co/w39WfG9yBk
264;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 13:21:19+00:00;[1622586234848571394];1622586234848571394;"@CarrefourFrance Merci pour le concours #AsterixEtObelixLEmpireDuMilieu 😊
Je tente ma chance on verra bien 😉"
265;[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '973305186595647490', 'name': 'Gerard Depardieu', 'description': 'Gerard Depardieu'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '973305186595647490', 'name': 'Gerard Depardieu', 'description': 'Gerard Depardieu'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '973305186595647490', 'name': 'Gerard Depardieu', 'description': 'Gerard Depardieu'}}];2023-02-06 13:19:52+00:00;[1622585869101064192];1622585869101064192;#AstérixetObélix : ce conseil de #Depardieu que #GillesLellouche n'a jamais oublié ! #GerardDepardieu #AstérixetObélixLEmpireduMilieu https://t.co/xuA3XlXkIu
266;;2023-02-06 13:16:31+00:00;[1622585026478055424];1622585026478055424;Je suis devant #AsterixEtObelixLEmpireDuMilieu depuis 10 min...une torture tellement c'est naze...j'en perds les mots...
267;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 13:15:52+00:00;[1622584865689403392];1622584865689403392;@CarrefourFrance Un grand merci pour ce superbe concours auquel je tente volontiers ma chance #AsterixEtObelixLEmpireDuMilieu
268;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 13:15:22+00:00;[1622584736999788547];1622584736999788547;@CarrefourFrance #AsterixEtObelixLEmpireDuMilieu Le meilleur souvenir d’enfance 👦
269;[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596706635776', 'name': 'Retail industry'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596157251584', 'name': 'Grocery/Convenience - Retail'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '946776540196495360', 'name': 'Carrefour', 'description': 'Carrefour'}}];2023-02-06 13:15:01+00:00;[1622584650521538561];1622584650521538561;@CarrefourFrance Waouhhh je participe #AsterixEtObelixLEmpireDuMilieu
270;[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696940178935808', 'name': 'Gaming Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to offline and online games such as gaming consoles, tabletop games, video game publishers'}}];2023-02-06 13:14:12+00:00;[1622584445793361920];1622584445793361920;🔴 #AsterixEtObelixLEmpireDuMilieu réalise le 18ème meilleur démarrage de tous les temps (avant-premières comprises) pour un film français avec un cumul de 1.637.948 entrées (dont 275.658 en avant-premières) sur 772 copies au terme de son 1er Week-End. cc @PatheFilms https://t.co/CxCNaiLlD4
